0;0;Math;82
1;0;Phisics;75
2;0;English;90
3;1;Math;88
4;1;Informatics;79
5;1;Social Science;85
6;2;Literature;70
7;2;Phisics;68
8;2;Russian Language;72
9;3;Math;95
10;3;Social Science;89
11;3;English;92
12;4;Russian Language;78
13;4;Chemistry;82
14;4;Biology;75
15;5;Phisics;80
16;5;Math;85
17;5;Informatics;88
18;6;Social Science;65
19;6;Math;70
20;6;Phisics;75
21;7;Literature;90
22;7;Informatics;85
23;7;Phisics;88
24;8;Math;60
25;8;English;65
26;8;Social Science;78
27;9;Russian Language;92
28;9;Chemistry;88
29;9;Phisics;85
